==Date==
Year        	2018
Month       	2
Day         	15
Hour        	16
Minute      	5
Second      	15
Microsecond 	322

==Instrument==
Param1 	1000
Param2 	test
Param6 	1.249012e-116
Param7 	test123m,masdf

==Metadata==
Name1 	x
Name2 	y
Unit1 	x
Unit2 	y

==Data==
 1.000000000000000e+00	 1.000000000000000e+00
 2.000000000000000e+00	 4.000000000000000e+00
 3.000000000000000e+00	 9.000000000000000e+00
 4.000000000000000e+00	 1.600000000000000e+01
 5.000000000000000e+00	 2.500000000000000e+01
 6.000000000000000e+00	 3.600000000000000e+01
 7.000000000000000e+00	 4.900000000000000e+01
 8.000000000000000e+00	 6.400000000000000e+01
 9.000000000000000e+00	 8.100000000000000e+01
 1.000000000000000e+01	 1.000000000000000e+02
 1.100000000000000e+01	 1.210000000000000e+02
 1.200000000000000e+01	 1.440000000000000e+02
 1.300000000000000e+01	 1.690000000000000e+02
 1.400000000000000e+01	 1.960000000000000e+02
 1.500000000000000e+01	 2.250000000000000e+02
 1.600000000000000e+01	 2.560000000000000e+02
 1.700000000000000e+01	 2.890000000000000e+02
 1.800000000000000e+01	 3.240000000000000e+02
 1.900000000000000e+01	 3.610000000000000e+02
 2.000000000000000e+01	 4.000000000000000e+02
 2.100000000000000e+01	 4.410000000000000e+02
 2.200000000000000e+01	 4.840000000000000e+02
 2.300000000000000e+01	 5.290000000000000e+02
 2.400000000000000e+01	 5.760000000000000e+02
 2.500000000000000e+01	 6.250000000000000e+02
 2.600000000000000e+01	 6.760000000000000e+02
 2.700000000000000e+01	 7.290000000000000e+02
 2.800000000000000e+01	 7.840000000000000e+02
 2.900000000000000e+01	 8.410000000000000e+02
 3.000000000000000e+01	 9.000000000000000e+02
 3.100000000000000e+01	 9.610000000000000e+02
 3.200000000000000e+01	 1.024000000000000e+03
 3.300000000000000e+01	 1.089000000000000e+03
 3.400000000000000e+01	 1.156000000000000e+03
 3.500000000000000e+01	 1.225000000000000e+03
 3.600000000000000e+01	 1.296000000000000e+03
 3.700000000000000e+01	 1.369000000000000e+03
 3.800000000000000e+01	 1.444000000000000e+03
 3.900000000000000e+01	 1.521000000000000e+03
 4.000000000000000e+01	 1.600000000000000e+03
 4.100000000000000e+01	 1.681000000000000e+03
 4.200000000000000e+01	 1.764000000000000e+03
 4.300000000000000e+01	 1.849000000000000e+03
 4.400000000000000e+01	 1.936000000000000e+03
 4.500000000000000e+01	 2.025000000000000e+03
 4.600000000000000e+01	 2.116000000000000e+03
 4.700000000000000e+01	 2.209000000000000e+03
 4.800000000000000e+01	 2.304000000000000e+03
 4.900000000000000e+01	 2.401000000000000e+03
 5.000000000000000e+01	 2.500000000000000e+03
 5.100000000000000e+01	 2.601000000000000e+03
 5.200000000000000e+01	 2.704000000000000e+03
 5.300000000000000e+01	 2.809000000000000e+03
 5.400000000000000e+01	 2.916000000000000e+03
 5.500000000000000e+01	 3.025000000000000e+03
 5.600000000000000e+01	 3.136000000000000e+03
 5.700000000000000e+01	 3.249000000000000e+03
 5.800000000000000e+01	 3.364000000000000e+03
 5.900000000000000e+01	 3.481000000000000e+03
 6.000000000000000e+01	 3.600000000000000e+03
 6.100000000000000e+01	 3.721000000000000e+03
 6.200000000000000e+01	 3.844000000000000e+03
 6.300000000000000e+01	 3.969000000000000e+03
 6.400000000000000e+01	 4.096000000000000e+03
 6.500000000000000e+01	 4.225000000000000e+03
 6.600000000000000e+01	 4.356000000000000e+03
 6.700000000000000e+01	 4.489000000000000e+03
 6.800000000000000e+01	 4.624000000000000e+03
 6.900000000000000e+01	 4.761000000000000e+03
 7.000000000000000e+01	 4.900000000000000e+03
 7.100000000000000e+01	 5.041000000000000e+03
 7.200000000000000e+01	 5.184000000000000e+03
 7.300000000000000e+01	 5.329000000000000e+03
 7.400000000000000e+01	 5.476000000000000e+03
 7.500000000000000e+01	 5.625000000000000e+03
 7.600000000000000e+01	 5.776000000000000e+03
 7.700000000000000e+01	 5.929000000000000e+03
